close,open,galaxy_score,alt_rank,correlation_rank,social_volume,social_dominance,average_sentiment,url_shares,tweets,tweet_spam,news,market_dominance,volatility,time
11593.210272,11574.369857,63.0,97,2.3,4492,40.72898721552271,3.6,1231,3642,1136,23,60.07608423646937,0.00861208,1596830400
11617.944745,11616.162137,63.0,62,2.4,4417,41.5248660336561,3.6,1286,3458,1253,35,60.13411074324139,0.00864019,1596834000
11620.773433,11642.88231,63.5,86,2.5,4390,42.51404222351346,3.6,1361,3408,1360,22,60.05819287009607,0.00868604,1596837600
11615.564957,11593.555383,60.0,71,2.6,4896,45.02897084521291,3.5,1665,3597,1523,15,60.02350974506827,0.00884012,1596841200
11619.909468,11613.661167,64.0,86,2.6,3979,41.43928348260779,3.6,1102,3220,1313,27,58.48648285925427,0.0089139,1596844800
11656.848946,11664.776957,60.5,72,2.7,3756,40.30042918454936,3.6,1010,3028,1646,22,59.8224030964082,0.0089996,1596848400
11639.647342,11640.971341,61.5,94,2.9,3713,41.2280701754386,3.6,1142,2947,1235,12,59.93031408722403,0.0091201,1596852000
11566.636498,11587.416968,63.5,95,2.8,3457,42.52675605855579,3.7,1231,2719,1423,12,59.9882899177104,0.00940395,1596855600
11564.84736,11553.360002,62.5,95,2.8,3508,42.49031007751937,3.6,1330,2767,1497,18,60.00719255928897,0.00968959,1596859200
11637.033233,11622.442757,65.0,78,2.9,3574,39.7243525619651,3.6,1333,2905,1319,15,59.78115193634738,0.00978571,1596862800
11609.718404,11630.161791,61.5,96,3.1,3784,39.55262882826383,3.6,1368,2918,1547,24,59.89719798717603,0.00975028,1596866400
11598.637475,11601.196839,69.0,82,3.1,4377,41.10245093436004,3.6,1804,3209,1684,26,60.15061071316264,0.00984537,1596870000
11591.587491,11577.368535,64.5,106,3.1,4332,41.08108108108108,3.7,1846,3264,1867,24,60.09843568580473,0.00986837,1596873600
11750.99458,11700.361847,71.5,78,3.1,3892,40.32742720961559,3.7,1813,2949,2096,24,60.1599883358352,0.0097477,1596877200
11744.799416,11777.157587,71.0,85,3.7,4551,40.7139023081052,3.6,1707,3513,2596,32,60.12110611943982,0.0095116,1596880800
11776.443057,11829.23649,72.0,78,3.7,4173,38.83666821777571,3.7,1547,3270,2245,23,60.04244542350053,0.00934711,1596884400
11777.01034,11777.767487,72.5,55,3.8,4854,40.37597737481284,3.7,1498,3951,2196,32,60.01548748881685,0.00912594,1596888000
11751.803139,11748.202936,72.0,53,3.8,4924,39.23505976095618,3.7,1422,4068,2132,26,60.03216852999434,0.00893164,1596891600
11747.335078,11749.521191,71.0,64,3.7,5107,39.69993781094527,3.7,1434,4302,1976,39,60.18395757745368,0.00892193,1596895200
11741.725937,11756.669887,72.0,51,3.7,5447,38.91270181454494,3.6,1849,4469,2057,32,60.22279269108806,0.00886465,1596898800
11696.39347,11744.450545,71.0,59,3.7,5011,36.64887003583705,3.6,1333,4184,1830,20,60.0664511413836,0.00881513,1596902400
11717.517872,11730.177998,70.0,113,3.9,5209,37.24438724438725,3.7,1380,4310,1625,20,60.05855030616421,0.00871907,1596906000
11690.169511,11702.257695,68.0,113,3.8,5225,38.11920916320128,3.7,1212,4365,1400,22,59.88684772918148,0.00852077,1596909600
11729.37747,11661.36019,68.5,80,3.7,4638,33.88616935778476,3.7,1179,3769,1222,20,59.9602094768218,0.00820663,1596913200
11722.426976,11706.446311,69.5,100,3.9,4498,33.21763532973931,3.7,1137,3599,1044,35,60.00527093778367,0.00794445,1596916800
11782.979834,11779.919057,69.0,92,3.7,3960,32.60064213386021,3.7,1013,3224,1022,11,59.87841278619075,0.00780998,1596920400
